# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	17463
#@/user_id	51e25a0a-ac6c-40dd-89cd-561e9e93526d
ba 	把	c=16 d=0.564275 t=17463
ba ba 	爸爸	c=5 d=0.000505481 t=17463
ba ba 	粑粑	c=1 d=1.0712e-15 t=17463
ba bai 	八佰	c=1 d=5.08447e-14 t=17463
ba ban tian 	吧半天	c=1 d=1 t=16701
ba de 	八德	c=0 d=7.85399e-13 t=17463
ba hua 	把话	c=1 d=5.82036e-16 t=17463
ba na 	把那	c=0 d=0.1 t=17342
ba ni 	把你	c=4 d=7.06753e-06 t=17463
ba ni de 	把你的	c=1 d=0.0236356 t=17463
ba ren wu 	吧任务	c=1 d=3.94755e-07 t=17463
ba wo 	把我	c=1 d=3.68067e-07 t=17463
ba wo 	把握	c=1 d=2.76265e-14 t=17463
bai 	白	c=5 d=0.18418 t=17463
bai 	百	c=1 d=7.84305e-25 t=17463
bai chuang kou 	白窗口	c=1 d=5.47191e-25 t=17463
bai du 	百度	c=5 d=0.00134011 t=17463
bai du bai ke 	百度百科	c=3 d=2.78945e-23 t=17463
bai du tie ba 	百度贴吧	c=1 d=1 t=15505
bai du wang pan 	百度网盘	c=1 d=1.31108e-10 t=17463
bai hao 	摆好	c=1 d=9.69094e-14 t=17463
bai hua mian 	白画面	c=1 d=2.61028e-23 t=17463
bai piao 	白票	c=2 d=0.0361528 t=17463
bai shi 	百事	c=12 d=11.508 t=16834
bai shi ke le 	百事可乐	c=1 d=1 t=16810
bai wan 	百万	c=1 d=4.24546e-10 t=17463
ban 	伴	c=0 d=2.64064e-13 t=17463
ban 	办	c=1 d=9.31254e-16 t=17463
ban 	半	c=1 d=3.46091e-18 t=17463
ban 	板	c=1 d=1.9906e-11 t=17463
ban 	版	c=15 d=1.50015 t=17463
ban 	班	c=3 d=0.551563 t=17463
ban ban 	斑斑	c=1 d=1 t=15219
ban ben 	版本	c=46 d=0.98205 t=17463
ban de 	版的	c=1 d=2.4192e-11 t=17463
ban gong 	办公	c=1 d=1.31765e-10 t=17463
ban jia 	半价	c=2 d=2.35498e-18 t=17463
ban jiao 	半角	c=1 d=4.78675e-10 t=17463
ban lang 	伴郎	c=1 d=1.59256e-05 t=17463
ban li 	办理	c=2 d=1.09209 t=16990
ban nian 	半年	c=1 d=2.96196e-10 t=17463
ban ping 	半瓶	c=1 d=0.0475963 t=17463
ban tian 	半天	c=0 d=0.1 t=16700
