# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3184
#@/user_id	30b2fdae-cf15-49c1-b454-51f04700fdbe
bu cuo 	不錯	c=1 d=0.000297529 t=3184
bu dang 	不當	c=0 d=0.0035437 t=3184
bu dao 	不到	c=1 d=0.00486835 t=3184
bu duo 	不多	c=1 d=0.00914087 t=3184
bu eng ni 	不嗯你	c=1 d=0.00186406 t=3184
bu er nuo 	布爾諾	c=0 d=0.000184551 t=3184
bu er nuo na ge 	布爾諾那個	c=1 d=0.00185476 t=3184
bu guo 	不過	c=4 d=0.675541 t=3184
bu hao 	不好	c=0 d=5.40825e-06 t=3184
bu jiu 	不就	c=0 d=0.066034 t=3184
bu jiu jin le 	不就近了	c=1 d=0.66365 t=3184
bu kan 	不看	c=1 d=0.00146632 t=3184
bu le 	不了	c=2 d=0.168599 t=3184
bu men 	部門	c=6 d=0.155734 t=3184
bu neng 	不能	c=2 d=0.0138213 t=3184
bu qu 	不去	c=1 d=5.40825e-05 t=3184
bu quan 	不全	c=2 d=0.000981133 t=3184
bu quan 	補全	c=1 d=0.247833 t=3184
bu shang 	不上	c=1 d=0.00319874 t=3184
bu shi 	不是	c=6 d=0.959622 t=3184
bu shou 	不收	c=1 d=0.000322558 t=3184
bu tong 	不同	c=1 d=0.00211225 t=3184
bu wei 	不爲	c=1 d=0.017953 t=3184
bu wei kong 	不爲空	c=2 d=0.817876 t=3184
bu xiang 	不想	c=0 d=0.0980199 t=3184
bu yao 	不要	c=1 d=0.0968487 t=3184
bu yao ren 	不咬人	c=1 d=0.000125903 t=3184
bu yao xia zai 	不要下載	c=1 d=0.895834 t=3184
bu yi ding 	不一定	c=1 d=2.25449e-05 t=3184
bu yi yang 	不一樣	c=1 d=0.0137737 t=3184
bu yong 	不用	c=2 d=0.960799 t=3184
bu zai 	不再	c=1 d=0.00594621 t=3184
bu zen me 	不怎麼	c=1 d=6.85865e-06 t=3184
bu zheng chang 	不正常	c=1 d=0.0118551 t=3184
bu zhi 	不知	c=1 d=0.035437 t=3184
bu zhi dao 	不知道	c=2 d=0.00101422 t=3184
bu zhi yu 	不至於	c=0 d=3.59847e-07 t=3184
cai 	才	c=1 d=0.0333226 t=3184
cai hao 	採號	c=1 d=0.733447 t=3184
cai jiao le 	才交了	c=1 d=0.201897 t=3184
cai niao 	菜鳥	c=1 d=2.88039e-05 t=3184
can shu 	參數	c=2 d=0.000596069 t=3184
can shu zhi 	參數值	c=1 d=2.16609e-05 t=3184
cao zuo 	操作	c=5 d=1.01077 t=3184
ce shi 	測試	c=8 d=0.50583 t=3184
cha 	查	c=0 d=2.11808e-07 t=3184
cha bu duo 	差不多	c=2 d=0.831229 t=3184
cha chu 	查出	c=3 d=0.000534357 t=3184
cha dian 	差點	c=1 d=3.7641e-06 t=3184
cha fen 	差分	c=6 d=0.0690585 t=3184
cha jian 	插件	c=1 d=0.0152985 t=3184
cha kan 	查看	c=4 d=0.970697 t=3184
cha ru 	插入	c=1 d=1.39505e-05 t=3184
cha xun 	查詢	c=34 d=3.37741 t=3184
cha yi xia 	查一下	c=1 d=2.1287e-06 t=3184
chang 	長	c=4 d=0.0695437 t=3184
chang chun shi 	長春市	c=1 d=0.000675539 t=3184
chang du 	長度	c=2 d=0.00753594 t=3184
chang liang 	常量	c=2 d=1.20372 t=3184
chang ning qu 	長寧區	c=1 d=0.000678925 t=3184
chang sha 	長沙	c=1 d=0.000682328 t=3184
chang shou qu 	長壽區	c=1 d=0.000689185 t=3184
chang yong 	常用	c=1 d=2.51058e-06 t=3184
chang zhi shi 	長治市	c=2 d=0.00126356 t=3184
chao 	超	c=2 d=0.0231949 t=3184
chao ji 	超級	c=1 d=3.51812e-05 t=3184
cheng 	成	c=3 d=0.000613709 t=3184
cheng du 	成都	c=1 d=4.88178e-06 t=3184
cheng yi 	乘以	c=1 d=0.529935 t=3184
chi 	吃	c=2 d=0.673808 t=3184
chi bao le 	吃飽了	c=1 d=0.00148848 t=3184
chi dao 	吃到	c=1 d=0.000274653 t=3184
chi dao 	遲到	c=1 d=0.000271921 t=3184
chi fa 	吃法	c=1 d=3.821e-06 t=3184
chi fan 	吃飯	c=0 d=3.821e-07 t=3184
chi fan de 	吃飯的	c=1 d=3.84015e-06 t=3184
chi ji 	吃雞	c=1 d=6.97914e-05 t=3184
chi wan 	吃完	c=1 d=4.39519e-06 t=3184
chong fu 	重複	c=2 d=0.0264305 t=3184
chong qi 	重啓	c=0 d=1.47392e-06 t=3184
chong qi hou 	重啓後	c=1 d=3.98655e-05 t=3184
chong tu 	衝突	c=2 d=0.186376 t=3184
chong xin 	重新	c=2 d=0.46955 t=3184
chong xuan 	重選	c=1 d=0.00172937 t=3184
chong zhi 	重置	c=2 d=0.232549 t=3184
chou chou 	瞅瞅	c=1 d=2.52925e-05 t=3184
chu 	出	c=1 d=0.0720785 t=3184
chu lai 	出來	c=1 d=0.00794669 t=3184
chu le 	除了	c=1 d=0.0651504 t=3184
